# Lens 2 (OPL-enforced)
# r_mm, sag_um
0.579680, -3.0144
0.581687, -3.0353
0.583694, -3.0563
0.585700, -3.0773
0.587707, -3.0984
0.589713, -3.1196
0.591720, -3.1409
0.593726, -3.1622
0.595732, -3.1836
0.597739, -3.2051
0.599745, -3.2267
0.601751, -3.2483
0.603757, -3.2700
0.605763, -3.2917
0.607769, -3.3136
0.609775, -3.3355
0.611780, -3.3575
0.613786, -3.3795
0.615792, -3.4016
0.617797, -3.4238
0.619803, -3.4461
0.621808, -3.4684
0.623814, -3.4908
0.625819, -3.5133
0.627824, -3.5358
0.629829, -3.5585
0.631834, -3.5811
0.633839, -3.6039
0.635844, -3.6267
0.637849, -3.6496
0.639854, -3.6726
0.641859, -3.6957
0.643863, -3.7188
0.645868, -3.7420
0.647873, -3.7652
0.649877, -3.7886
0.651881, -3.8120
0.653886, -3.8354
0.655890, -3.8590
0.657894, -3.8826
0.659898, -3.9063
0.661902, -3.9300
0.663906, -3.9539
0.665910, -3.9778
0.667914, -4.0017
0.669918, -4.0258
0.671922, -4.0499
0.673925, -4.0741
0.675929, -4.0983
0.677932, -4.1227
0.679936, -4.1471
0.681939, -4.1715
0.683942, -4.1961
0.685945, -4.2207
0.687948, -4.2454
0.689951, -4.2701
0.691954, -4.2950
0.693957, -4.3199
0.695960, -4.3448
0.697963, -4.3699
0.699965, -4.3950
0.701968, -4.4201
0.703970, -4.4454
0.705973, -4.4707
0.707975, -4.4961
0.709977, -4.5216
0.711980, -4.5471
0.713982, -4.5727
0.715984, -4.5984
0.717986, -4.6241
0.719988, -4.6500
0.721989, -4.6758
0.723991, -4.7018
0.725993, -4.7278
0.727994, -4.7539
0.729996, -4.7801
0.731997, -4.8063
0.733999, -4.8327
0.736000, -4.8590
0.738001, -4.8855
0.740002, -4.9120
0.742003, -4.9386
0.744004, -4.9653
0.746005, -4.9920
0.748006, -5.0188
0.750007, -5.0457
0.752007, -5.0727
0.754008, -5.0997
0.756008, -5.1268
0.758009, -5.1539
0.760009, -5.1812
0.762009, -5.2085
0.764009, -5.2358
0.766009, -5.2633
0.768009, -5.2908
0.770009, -5.3184
0.772009, -5.3460
0.774009, -5.3738
0.776008, -5.4016
0.778008, -5.4294
0.780007, -5.4574
0.782007, -5.4854
0.784006, -5.5135
0.786005, -5.5416
0.788004, -5.5698
0.790003, -5.5981
0.792002, -5.6265
0.794001, -5.6549
0.796000, -5.6834
0.797999, -5.7120
0.799997, -5.7406
0.801996, -5.7693
0.803994, -5.7981
0.805992, -5.8270
0.807991, -5.8559
0.809989, -5.8849
0.811987, -5.9139
0.813985, -5.9431
0.815983, -5.9723
0.817981, -6.0016
0.819978, -6.0309
0.821976, -6.0603
0.823974, -6.0898
0.825971, -6.1194
0.827969, -6.1490
0.829966, -6.1787
0.831963, -6.2084
0.833960, -6.2383
0.835957, -6.2682
0.837954, -6.2982
0.839951, -6.3282
0.841948, -6.3583
0.843944, -6.3885
0.845941, -6.4188
0.847937, -6.4491
0.849934, -6.4795
0.851930, -6.5100
0.853926, -6.5405
0.855922, -6.5711
0.857918, -6.6018
0.859914, -6.6325
0.861910, -6.6633
0.863906, -6.6942
0.865902, -6.7252
0.867897, -6.7562
0.869893, -6.7873
0.871888, -6.8185
0.873883, -6.8497
0.875879, -6.8810
0.877874, -6.9124
0.879869, -6.9438
0.881864, -6.9753
0.883858, -7.0069
0.885853, -7.0386
0.887848, -7.0703
0.889842, -7.1021
0.891837, -7.1340
0.893831, -7.1659
0.895825, -7.1979
0.897819, -7.2300
0.899813, -7.2621
0.901807, -7.2943
0.903801, -7.3266
0.905795, -7.3590
0.907789, -7.3914
0.909782, -7.4239
0.911776, -7.4564
0.913769, -7.4891
0.915762, -7.5218
0.917755, -7.5545
0.919748, -7.5874
0.921741, -7.6203
0.923734, -7.6533
0.925727, -7.6863
0.927720, -7.7194
0.929712, -7.7526
0.931705, -7.7859
0.933697, -7.8192
0.935689, -7.8526
0.937681, -7.8861
0.939674, -7.9196
0.941665, -7.9532
0.943657, -7.9869
0.945649, -8.0206
0.947641, -8.0544
0.949632, -8.0883
0.951624, -8.1222
0.953615, -8.1563
0.955606, -8.1904
0.957598, -8.2245
0.959589, -8.2587
0.961580, -8.2930
0.963570, -8.3274
0.965561, -8.3618
0.967552, -8.3963
0.969542, -8.4309
0.971533, -8.4656
0.973523, -8.5003
0.975513, -8.5350
0.977503, -8.5699
0.979493, -8.6048
0.981483, -8.6398
0.983473, -8.6749
0.985463, -8.7100
0.987452, -8.7452
0.989442, -8.7804
0.991431, -8.8158
0.993420, -8.8512
0.995409, -8.8866
0.997399, -8.9222
0.999387, -8.9578
1.001376, -8.9935
1.003365, -9.0292
1.005354, -9.0650
1.007342, -9.1009
1.009331, -9.1369
1.011319, -9.1729
1.013307, -9.2090
1.015295, -9.2451
1.017283, -9.2814
1.019271, -9.3177
1.021259, -9.3540
1.023246, -9.3905
1.025234, -9.4270
1.027221, -9.4635
1.029209, -9.5002
1.031196, -9.5369
1.033183, -9.5737
1.035170, -9.6105
1.037157, -9.6474
1.039143, -9.6844
1.041130, -9.7215
1.043117, -9.7586
1.045103, -9.7958
1.047089, -9.8330
1.049075, -9.8704
1.051062, -9.9078
1.053048, -9.9452
1.055033, -9.9827
1.057019, -10.0203
1.059005, -10.0580
1.060990, -10.0958
1.062976, -10.1336
1.064961, -10.1714
1.066946, -10.2094
1.068931, -10.2474
1.070916, -10.2855
1.072901, -10.3236
1.074886, -10.3618
1.076870, -10.4001
1.078855, -10.4385
1.080839, -10.4769
1.082823, -10.5154
1.084807, -10.5539
1.086791, -10.5926
1.088775, -10.6313
1.090759, -10.6700
1.092743, -10.7088
1.094726, -10.7477
1.096710, -10.7867
1.098693, -10.8257
1.100676, -10.8648
1.102659, -10.9040
1.104642, -10.9433
1.106625, -10.9826
1.108608, -11.0219
1.110591, -11.0614
1.112573, -11.1009
1.114555, -11.1405
1.116538, -11.1801
1.118520, -11.2198
1.120502, -11.2596
1.122484, -11.2995
1.124465, -11.3394
1.126447, -11.3794
1.128429, -11.4194
1.130410, -11.4595
1.132391, -11.4997
1.134372, -11.5400
1.136353, -11.5803
1.138334, -11.6207
1.140315, -11.6612
1.142296, -11.7017
1.144276, -11.7423
1.146257, -11.7830
1.148237, -11.8237
1.150217, -11.8645
1.152197, -11.9054
1.154177, -11.9463
1.156157, -11.9873
1.158137, -12.0284
1.160116, -12.0695
1.162096, -12.1107
1.164075, -12.1520
1.166054, -12.1933
1.168033, -12.2347
1.170012, -12.2762
1.171991, -12.3177
1.173970, -12.3593
1.175948, -12.4010
1.177927, -12.4428
1.179905, -12.4846
1.181883, -12.5265
1.183861, -12.5684
1.185839, -12.6104
1.187817, -12.6525
1.189795, -12.6947
1.191772, -12.7369
1.193750, -12.7791
1.195727, -12.8215
1.197704, -12.8639
1.199681, -12.9064
1.201658, -12.9490
1.203635, -12.9916
1.205611, -13.0343
1.207588, -13.0770
1.209564, -13.1198
1.211541, -13.1627
1.213517, -13.2057
1.215493, -13.2487
1.217469, -13.2918
1.219444, -13.3349
1.221420, -13.3782
1.223396, -13.4215
1.225371, -13.4648
1.227346, -13.5082
1.229321, -13.5517
1.231296, -13.5953
1.233271, -13.6389
1.235246, -13.6826
1.237220, -13.7264
1.239195, -13.7702
1.241169, -13.8141
1.243143, -13.8580
1.245117, -13.9021
1.247091, -13.9461
1.249065, -13.9903
1.251038, -14.0345
1.253012, -14.0788
1.254985, -14.1232
1.256958, -14.1676
1.258932, -14.2121
1.260905, -14.2567
1.262877, -14.3013
1.264850, -14.3460
1.266823, -14.3907
1.268795, -14.4355
