# L2 collimated design OPL=0
# r_mm, sag_um
0.000000, -0.0000
0.001520, -0.0000
0.003040, -0.0001
0.004560, -0.0002
0.006080, -0.0003
0.007600, -0.0005
0.009120, -0.0007
0.010640, -0.0010
0.012160, -0.0013
0.013681, -0.0017
0.015201, -0.0021
0.016721, -0.0025
0.018241, -0.0030
0.019761, -0.0035
0.021281, -0.0040
0.022801, -0.0046
0.024321, -0.0052
0.025841, -0.0059
0.027361, -0.0066
0.028881, -0.0074
0.030401, -0.0082
0.031921, -0.0090
0.033441, -0.0099
0.034961, -0.0108
0.036481, -0.0118
0.038001, -0.0128
0.039521, -0.0138
0.041041, -0.0149
0.042561, -0.0160
0.044081, -0.0172
0.045601, -0.0184
0.047121, -0.0196
0.048641, -0.0209
0.050161, -0.0222
0.051681, -0.0236
0.053201, -0.0250
0.054721, -0.0264
0.056241, -0.0279
0.057761, -0.0294
0.059281, -0.0310
0.060801, -0.0326
0.062321, -0.0343
0.063841, -0.0360
0.065361, -0.0377
0.066881, -0.0395
0.068401, -0.0413
0.069921, -0.0431
0.071441, -0.0450
0.072961, -0.0469
0.074481, -0.0489
0.076001, -0.0509
0.077521, -0.0530
0.079041, -0.0551
0.080561, -0.0572
0.082081, -0.0594
0.083601, -0.0616
0.085121, -0.0639
0.086640, -0.0662
0.088160, -0.0685
0.089680, -0.0709
0.091200, -0.0733
0.092720, -0.0758
0.094240, -0.0783
0.095760, -0.0808
0.097280, -0.0834
0.098800, -0.0860
0.100319, -0.0887
0.101839, -0.0914
0.103359, -0.0942
0.104879, -0.0969
0.106399, -0.0998
0.107919, -0.1026
0.109438, -0.1056
0.110958, -0.1085
0.112478, -0.1115
0.113998, -0.1145
0.115518, -0.1176
0.117037, -0.1207
0.118557, -0.1239
0.120077, -0.1271
0.121597, -0.1303
0.123117, -0.1336
0.124636, -0.1369
0.126156, -0.1402
0.127676, -0.1436
0.129196, -0.1471
0.130715, -0.1506
0.132235, -0.1541
0.133755, -0.1576
0.135274, -0.1612
0.136794, -0.1649
0.138314, -0.1686
0.139833, -0.1723
0.141353, -0.1760
0.142873, -0.1798
0.144392, -0.1837
0.145912, -0.1876
0.147432, -0.1915
0.148951, -0.1955
0.150471, -0.1995
0.151990, -0.2035
0.153510, -0.2076
0.155030, -0.2117
0.156549, -0.2159
0.158069, -0.2201
0.159588, -0.2244
0.161108, -0.2287
0.162627, -0.2330
0.164147, -0.2374
0.165666, -0.2418
0.167186, -0.2462
0.168705, -0.2507
0.170225, -0.2553
0.171744, -0.2598
0.173264, -0.2645
0.174783, -0.2691
0.176303, -0.2738
0.177822, -0.2785
0.179342, -0.2833
0.180861, -0.2881
0.182380, -0.2930
0.183900, -0.2979
0.185419, -0.3028
0.186938, -0.3078
0.188458, -0.3128
0.189977, -0.3179
0.191497, -0.3230
0.193016, -0.3282
0.194535, -0.3333
0.196054, -0.3386
0.197574, -0.3438
0.199093, -0.3491
0.200612, -0.3545
0.202131, -0.3599
0.203651, -0.3653
0.205170, -0.3708
0.206689, -0.3763
0.208208, -0.3818
0.209728, -0.3874
0.211247, -0.3930
0.212766, -0.3987
0.214285, -0.4044
0.215804, -0.4102
0.217323, -0.4160
0.218842, -0.4218
0.220361, -0.4277
0.221881, -0.4336
0.223400, -0.4396
0.224919, -0.4455
0.226438, -0.4516
0.227957, -0.4577
0.229476, -0.4638
0.230995, -0.4699
0.232514, -0.4761
0.234033, -0.4824
0.235552, -0.4887
0.237071, -0.4950
0.238589, -0.5013
0.240108, -0.5077
0.241627, -0.5142
0.243146, -0.5207
0.244665, -0.5272
0.246184, -0.5338
0.247703, -0.5404
0.249222, -0.5470
0.250740, -0.5537
0.252259, -0.5604
0.253778, -0.5672
0.255297, -0.5740
0.256815, -0.5808
0.258334, -0.5877
0.259853, -0.5946
0.261372, -0.6016
0.262890, -0.6086
0.264409, -0.6157
0.265928, -0.6228
0.267446, -0.6299
0.268965, -0.6371
0.270483, -0.6443
0.272002, -0.6515
0.273521, -0.6588
0.275039, -0.6662
0.276558, -0.6735
0.278076, -0.6810
0.279595, -0.6884
0.281113, -0.6959
0.282632, -0.7034
0.284150, -0.7110
0.285668, -0.7186
0.287187, -0.7263
0.288705, -0.7340
0.290224, -0.7417
0.291742, -0.7495
0.293260, -0.7573
0.294779, -0.7652
0.296297, -0.7731
0.297815, -0.7810
0.299334, -0.7890
0.300852, -0.7970
0.302370, -0.8051
0.303888, -0.8132
0.305406, -0.8213
0.306925, -0.8295
0.308443, -0.8377
0.309961, -0.8460
0.311479, -0.8543
0.312997, -0.8627
0.314515, -0.8710
0.316033, -0.8795
0.317551, -0.8879
0.319069, -0.8965
0.320587, -0.9050
0.322105, -0.9136
0.323623, -0.9222
0.325141, -0.9309
0.326659, -0.9396
0.328177, -0.9483
0.329695, -0.9571
0.331213, -0.9660
0.332731, -0.9748
0.334249, -0.9838
0.335766, -0.9927
0.337284, -1.0017
0.338802, -1.0107
0.340320, -1.0198
0.341837, -1.0289
0.343355, -1.0381
0.344873, -1.0473
0.346390, -1.0565
0.347908, -1.0658
0.349426, -1.0751
0.350943, -1.0844
0.352461, -1.0938
0.353978, -1.1033
0.355496, -1.1128
0.357014, -1.1223
0.358531, -1.1318
0.360049, -1.1414
0.361566, -1.1511
0.363083, -1.1608
0.364601, -1.1705
0.366118, -1.1802
0.367636, -1.1900
0.369153, -1.1999
0.370670, -1.2098
0.372187, -1.2197
0.373705, -1.2296
0.375222, -1.2396
0.376739, -1.2497
0.378256, -1.2598
0.379774, -1.2699
0.381291, -1.2801
0.382808, -1.2903
0.384325, -1.3005
0.385842, -1.3108
0.387359, -1.3211
0.388876, -1.3315
0.390393, -1.3419
0.391910, -1.3523
0.393427, -1.3628
0.394944, -1.3734
0.396461, -1.3839
0.397978, -1.3945
0.399495, -1.4052
0.401012, -1.4159
0.402528, -1.4266
0.404045, -1.4374
0.405562, -1.4482
0.407079, -1.4590
0.408595, -1.4699
0.410112, -1.4808
0.411629, -1.4918
0.413146, -1.5028
0.414662, -1.5139
0.416179, -1.5250
0.417695, -1.5361
0.419212, -1.5473
0.420728, -1.5585
0.422245, -1.5697
0.423761, -1.5810
0.425278, -1.5924
0.426794, -1.6037
0.428311, -1.6151
0.429827, -1.6266
0.431343, -1.6381
0.432860, -1.6496
0.434376, -1.6612
0.435892, -1.6728
0.437408, -1.6845
0.438925, -1.6962
0.440441, -1.7079
0.441957, -1.7197
0.443473, -1.7315
0.444989, -1.7434
0.446505, -1.7553
0.448021, -1.7672
0.449537, -1.7792
0.451053, -1.7912
0.452569, -1.8032
0.454085, -1.8153
0.455601, -1.8275
0.457117, -1.8397
0.458633, -1.8519
0.460149, -1.8641
0.461664, -1.8764
0.463180, -1.8888
0.464696, -1.9012
0.466212, -1.9136
0.467727, -1.9260
0.469243, -1.9385
0.470759, -1.9511
0.472274, -1.9637
0.473790, -1.9763
0.475305, -1.9889
0.476821, -2.0016
0.478336, -2.0144
0.479852, -2.0272
0.481367, -2.0400
0.482883, -2.0528
0.484398, -2.0657
0.485913, -2.0787
0.487429, -2.0917
0.488944, -2.1047
0.490459, -2.1177
0.491974, -2.1309
0.493490, -2.1440
0.495005, -2.1572
0.496520, -2.1704
0.498035, -2.1837
0.499550, -2.1970
0.501065, -2.2103
0.502580, -2.2237
0.504095, -2.2371
0.505610, -2.2506
0.507125, -2.2641
0.508640, -2.2776
0.510155, -2.2912
0.511670, -2.3048
0.513184, -2.3185
0.514699, -2.3322
0.516214, -2.3459
0.517729, -2.3597
0.519243, -2.3736
0.520758, -2.3874
0.522272, -2.4013
0.523787, -2.4153
0.525302, -2.4293
0.526816, -2.4433
0.528331, -2.4573
0.529845, -2.4714
0.531359, -2.4856
0.532874, -2.4998
0.534388, -2.5140
0.535902, -2.5283
0.537417, -2.5426
0.538931, -2.5569
0.540445, -2.5713
0.541959, -2.5857
0.543473, -2.6002
0.544988, -2.6147
0.546502, -2.6292
0.548016, -2.6438
0.549530, -2.6585
0.551044, -2.6731
0.552558, -2.6878
0.554072, -2.7026
0.555586, -2.7174
0.557099, -2.7322
0.558613, -2.7470
0.560127, -2.7619
0.561641, -2.7769
0.563154, -2.7919
0.564668, -2.8069
0.566182, -2.8220
0.567695, -2.8371
0.569209, -2.8522
0.570722, -2.8674
0.572236, -2.8826
0.573749, -2.8979
0.575263, -2.9132
0.576776, -2.9285
0.578290, -2.9439
0.579803, -2.9593
0.581316, -2.9748
0.582830, -2.9903
0.584343, -3.0059
0.585856, -3.0214
0.587369, -3.0371
0.588882, -3.0527
0.590395, -3.0684
0.591908, -3.0842
0.593421, -3.1000
0.594934, -3.1158
0.596447, -3.1317
0.597960, -3.1476
0.599473, -3.1635
0.600986, -3.1795
0.602499, -3.1955
0.604011, -3.2116
0.605524, -3.2277
0.607037, -3.2438
0.608550, -3.2600
0.610062, -3.2762
0.611575, -3.2925
0.613087, -3.3088
0.614600, -3.3251
0.616112, -3.3415
0.617625, -3.3579
0.619137, -3.3744
0.620649, -3.3909
0.622162, -3.4074
0.623674, -3.4240
0.625186, -3.4406
0.626698, -3.4573
0.628211, -3.4740
0.629723, -3.4907
0.631235, -3.5075
0.632747, -3.5243
0.634259, -3.5412
0.635771, -3.5581
0.637283, -3.5750
0.638795, -3.5920
0.640306, -3.6090
0.641818, -3.6261
0.643330, -3.6432
0.644842, -3.6603
0.646353, -3.6775
0.647865, -3.6947
0.649377, -3.7120
0.650888, -3.7293
0.652400, -3.7466
0.653911, -3.7640
0.655423, -3.7814
0.656934, -3.7989
0.658446, -3.8164
0.659957, -3.8339
0.661468, -3.8515
0.662979, -3.8691
0.664491, -3.8867
0.666002, -3.9044
0.667513, -3.9222
0.669024, -3.9399
0.670535, -3.9577
0.672046, -3.9756
0.673557, -3.9935
0.675068, -4.0114
0.676579, -4.0294
0.678090, -4.0474
0.679601, -4.0655
0.681111, -4.0835
0.682622, -4.1017
0.684133, -4.1198
0.685643, -4.1381
0.687154, -4.1563
0.688665, -4.1746
0.690175, -4.1929
0.691686, -4.2113
0.693196, -4.2297
0.694706, -4.2481
0.696217, -4.2666
0.697727, -4.2852
0.699237, -4.3037
0.700748, -4.3223
0.702258, -4.3410
0.703768, -4.3597
0.705278, -4.3784
0.706788, -4.3971
0.708298, -4.4160
0.709808, -4.4348
0.711318, -4.4537
0.712828, -4.4726
0.714338, -4.4916
0.715848, -4.5106
0.717357, -4.5296
0.718867, -4.5487
0.720377, -4.5678
0.721886, -4.5870
0.723396, -4.6062
0.724905, -4.6254
0.726415, -4.6447
0.727924, -4.6640
0.729434, -4.6834
0.730943, -4.7028
0.732452, -4.7222
0.733962, -4.7417
0.735471, -4.7612
0.736980, -4.7807
0.738489, -4.8003
0.739998, -4.8200
0.741507, -4.8396
0.743016, -4.8593
0.744525, -4.8791
0.746034, -4.8989
0.747543, -4.9187
0.749052, -4.9386
0.750561, -4.9585
0.752069, -4.9784
0.753578, -4.9984
0.755087, -5.0185
0.756595, -5.0385
0.758104, -5.0586
0.759612, -5.0788
0.761121, -5.0990
0.762629, -5.1192
0.764138, -5.1395
0.765646, -5.1598
0.767154, -5.1801
0.768662, -5.2005
0.770171, -5.2209
0.771679, -5.2414
0.773187, -5.2619
0.774695, -5.2824
0.776203, -5.3030
0.777711, -5.3236
0.779219, -5.3443
0.780726, -5.3650
0.782234, -5.3857
0.783742, -5.4065
0.785250, -5.4273
0.786757, -5.4481
0.788265, -5.4690
0.789773, -5.4900
0.791280, -5.5109
0.792788, -5.5320
0.794295, -5.5530
0.795802, -5.5741
0.797310, -5.5952
0.798817, -5.6164
0.800324, -5.6376
0.801831, -5.6588
0.803338, -5.6801
0.804845, -5.7015
0.806353, -5.7228
0.807859, -5.7442
0.809366, -5.7657
0.810873, -5.7872
0.812380, -5.8087
0.813887, -5.8302
0.815394, -5.8518
0.816900, -5.8735
0.818407, -5.8952
0.819914, -5.9169
0.821420, -5.9386
0.822927, -5.9604
0.824433, -5.9823
0.825939, -6.0041
0.827446, -6.0260
0.828952, -6.0480
0.830458, -6.0700
0.831964, -6.0920
0.833471, -6.1141
0.834977, -6.1362
0.836483, -6.1584
0.837989, -6.1805
0.839495, -6.2028
0.841000, -6.2250
0.842506, -6.2473
0.844012, -6.2697
0.845518, -6.2921
0.847024, -6.3145
0.848529, -6.3369
0.850035, -6.3594
0.851540, -6.3820
0.853046, -6.4046
0.854551, -6.4272
0.856056, -6.4498
0.857562, -6.4725
0.859067, -6.4953
0.860572, -6.5180
0.862077, -6.5409
0.863583, -6.5637
0.865088, -6.5866
0.866593, -6.6095
0.868098, -6.6325
0.869602, -6.6555
0.871107, -6.6786
0.872612, -6.7016
0.874117, -6.7248
0.875622, -6.7479
0.877126, -6.7711
0.878631, -6.7944
0.880135, -6.8177
0.881640, -6.8410
0.883144, -6.8643
0.884649, -6.8877
0.886153, -6.9112
0.887657, -6.9346
0.889161, -6.9582
0.890665, -6.9817
0.892170, -7.0053
0.893674, -7.0289
0.895178, -7.0526
0.896682, -7.0763
0.898185, -7.1001
0.899689, -7.1238
0.901193, -7.1477
0.902697, -7.1715
0.904200, -7.1954
0.905704, -7.2194
0.907208, -7.2434
0.908711, -7.2674
0.910214, -7.2914
0.911718, -7.3155
0.913221, -7.3397
0.914725, -7.3639
0.916228, -7.3881
0.917731, -7.4123
0.919234, -7.4366
0.920737, -7.4609
0.922240, -7.4853
0.923743, -7.5097
0.925246, -7.5342
0.926749, -7.5587
0.928252, -7.5832
0.929754, -7.6077
0.931257, -7.6323
0.932759, -7.6570
0.934262, -7.6817
0.935765, -7.7064
0.937267, -7.7311
0.938769, -7.7559
0.940272, -7.7808
0.941774, -7.8056
0.943276, -7.8306
0.944778, -7.8555
0.946280, -7.8805
0.947782, -7.9055
0.949284, -7.9306
0.950786, -7.9557
0.952288, -7.9808
0.953790, -8.0060
0.955292, -8.0312
0.956793, -8.0565
0.958295, -8.0818
0.959797, -8.1071
0.961298, -8.1325
0.962800, -8.1579
0.964301, -8.1834
0.965802, -8.2089
0.967304, -8.2344
0.968805, -8.2600
0.970306, -8.2856
0.971807, -8.3112
0.973308, -8.3369
0.974809, -8.3626
0.976310, -8.3884
0.977811, -8.4142
0.979312, -8.4400
0.980813, -8.4659
0.982313, -8.4918
0.983814, -8.5178
0.985315, -8.5438
0.986815, -8.5698
0.988316, -8.5959
0.989816, -8.6220
0.991316, -8.6481
0.992817, -8.6743
0.994317, -8.7006
0.995817, -8.7268
0.997317, -8.7531
0.998817, -8.7795
1.000317, -8.8058
1.001817, -8.8322
1.003317, -8.8587
1.004817, -8.8852
1.006316, -8.9117
1.007816, -8.9383
1.009316, -8.9649
1.010815, -8.9916
1.012315, -9.0182
1.013814, -9.0450
1.015314, -9.0717
1.016813, -9.0985
1.018312, -9.1254
1.019811, -9.1522
1.021310, -9.1792
1.022809, -9.2061
1.024308, -9.2331
1.025807, -9.2601
1.027306, -9.2872
1.028805, -9.3143
1.030304, -9.3415
1.031803, -9.3687
1.033301, -9.3959
1.034800, -9.4231
1.036298, -9.4504
1.037797, -9.4778
1.039295, -9.5052
1.040793, -9.5326
1.042292, -9.5600
1.043790, -9.5875
1.045288, -9.6150
1.046786, -9.6426
