# L1 collimated design OPL=0
# r_mm, sag_um
0.041044, -0.1586
0.041187, -0.1597
0.041329, -0.1608
0.041472, -0.1619
0.041614, -0.1631
0.041757, -0.1642
0.041899, -0.1653
0.042042, -0.1664
0.042184, -0.1675
0.042327, -0.1687
0.042469, -0.1698
0.042612, -0.1709
0.042754, -0.1721
0.042897, -0.1732
0.043039, -0.1744
0.043182, -0.1755
0.043324, -0.1767
0.043467, -0.1779
0.043609, -0.1790
0.043752, -0.1802
0.043894, -0.1814
0.044037, -0.1825
0.044179, -0.1837
0.044322, -0.1849
0.044464, -0.1861
0.044607, -0.1873
0.044749, -0.1885
0.044892, -0.1897
0.045035, -0.1909
0.045177, -0.1921
0.045320, -0.1933
0.045462, -0.1945
0.045605, -0.1957
0.045747, -0.1970
0.045890, -0.1982
0.046032, -0.1994
0.046175, -0.2007
0.046317, -0.2019
0.046460, -0.2031
0.046602, -0.2044
0.046745, -0.2056
0.046887, -0.2069
0.047030, -0.2081
0.047172, -0.2094
0.047315, -0.2107
0.047457, -0.2119
0.047600, -0.2132
0.047742, -0.2145
0.047885, -0.2158
0.048027, -0.2170
0.048170, -0.2183
0.048312, -0.2196
0.048455, -0.2209
0.048597, -0.2222
0.048740, -0.2235
0.048882, -0.2248
0.049025, -0.2261
0.049167, -0.2275
0.049310, -0.2288
0.049452, -0.2301
0.049595, -0.2314
0.049737, -0.2327
0.049880, -0.2341
0.050023, -0.2354
0.050165, -0.2368
0.050308, -0.2381
0.050450, -0.2394
0.050593, -0.2408
0.050735, -0.2422
0.050878, -0.2435
0.051020, -0.2449
0.051163, -0.2462
0.051305, -0.2476
0.051448, -0.2490
0.051590, -0.2504
0.051733, -0.2517
0.051875, -0.2531
0.052018, -0.2545
0.052160, -0.2559
0.052303, -0.2573
0.052445, -0.2587
0.052588, -0.2601
0.052730, -0.2615
0.052873, -0.2629
0.053015, -0.2644
0.053158, -0.2658
0.053300, -0.2672
0.053443, -0.2686
0.053585, -0.2701
0.053728, -0.2715
0.053870, -0.2729
0.054013, -0.2744
0.054155, -0.2758
0.054298, -0.2773
0.054440, -0.2787
0.054583, -0.2802
0.054725, -0.2817
0.054868, -0.2831
0.055011, -0.2846
0.055153, -0.2861
0.055296, -0.2875
0.055438, -0.2890
0.055581, -0.2905
0.055723, -0.2920
0.055866, -0.2935
0.056008, -0.2950
0.056151, -0.2965
0.056293, -0.2980
0.056436, -0.2995
0.056578, -0.3010
0.056721, -0.3025
0.056863, -0.3040
0.057006, -0.3056
0.057148, -0.3071
0.057291, -0.3086
0.057433, -0.3101
0.057576, -0.3117
0.057718, -0.3132
0.057861, -0.3148
0.058003, -0.3163
0.058146, -0.3179
0.058288, -0.3194
0.058431, -0.3210
0.058573, -0.3226
0.058716, -0.3241
0.058858, -0.3257
0.059001, -0.3273
0.059143, -0.3289
0.059286, -0.3304
0.059428, -0.3320
0.059571, -0.3336
0.059713, -0.3352
0.059856, -0.3368
0.059998, -0.3384
0.060141, -0.3400
0.060284, -0.3416
0.060426, -0.3432
0.060569, -0.3449
0.060711, -0.3465
0.060854, -0.3481
0.060996, -0.3497
0.061139, -0.3514
0.061281, -0.3530
0.061424, -0.3546
0.061566, -0.3563
0.061709, -0.3579
0.061851, -0.3596
0.061994, -0.3612
0.062136, -0.3629
