r_mm,requested,I_50mm_after_L2,I_75mm_after_L2,I_100mm_after_L2,I_150mm_after_L2,I_200mm_after_L2,I_300mm_after_L2,I_500mm_after_L2,I_750mm_after_L2,I_1000mm_after_L2
7.648777540338865144e+00,5.697859694320273061e-01,6.832865357409995122e-01,6.832929529506562849e-01,6.832993910943420124e-01,6.833123287583475758e-01,6.833253457883378124e-01,6.833516058219591960e-01,6.834049394884876838e-01,6.834728500918932914e-01,6.835416706744865678e-01
7.722678772612670883e+00,5.552378614339845697e-01,6.720318957733013576e-01,6.720386957716897314e-01,6.720455152074151783e-01,6.720592100323656837e-01,6.720729752306482396e-01,6.721006957352670952e-01,6.721567357537168164e-01,6.722273737204886856e-01,6.722965495966732874e-01
7.796580004886475734e+00,5.405944499575515705e-01,6.547137839652279467e-01,6.547212378417697209e-01,6.547287162268204952e-01,6.547437431722968881e-01,6.547588577938512344e-01,6.547893205984678389e-01,6.548509546668128678e-01,6.549285724288793631e-01,6.550062592868215461e-01
7.870481237160281474e+00,5.258806020463562270e-01,6.351026084276156780e-01,6.351105874378409899e-01,6.351185994584227501e-01,6.351347191054989016e-01,6.351509602223472939e-01,6.351837770065742461e-01,6.352505221702055005e-01,6.353352871730825191e-01,6.354197955651367247e-01
7.944382469434087213e+00,5.111216713591086869e-01,6.213236087853269973e-01,6.213310499672436427e-01,6.213384937830852550e-01,6.213533840013431009e-01,6.213682683563822584e-01,6.213979723456238835e-01,6.214567556780726809e-01,6.215278082555263373e-01,6.215918997492527742e-01
8.018283701707892064e+00,4.963433248530498831e-01,6.052272566030083567e-01,6.052339879999237837e-01,6.052406901765650105e-01,6.052540001853117246e-01,6.052671726874052638e-01,6.052930454883096445e-01,6.053424358237009528e-01,6.053981681479356780e-01,6.054449195608384571e-01
8.092184933981698691e+00,4.815713648565129179e-01,5.867832155786061321e-01,5.867887176217863043e-01,5.867941461357659705e-01,5.868047744143325417e-01,5.868150833530307864e-01,5.868346697895319153e-01,5.868691396003242744e-01,5.869014206239739906e-01,5.869228672343567155e-01
8.166086166255503542e+00,4.668315491403548512e-01,5.694285323277696875e-01,5.694324441233931111e-01,5.694362286018801456e-01,5.694434062439555078e-01,5.694500457346691746e-01,5.694616262486889013e-01,5.694773349534330009e-01,5.694807067964404723e-01,5.694540766913860352e-01
8.239987398529308393e+00,4.521494116486498016e-01,5.527824081636367737e-01,5.527846356096119962e-01,5.527866895122883761e-01,5.527902661706320941e-01,5.527931161691839179e-01,5.527965410585551354e-01,5.527935360654510077e-01,5.527686857592897240e-01,5.527159971006199157e-01
8.313888630803115021e+00,4.375500865323302402e-01,5.374798625162328092e-01,5.374801662688170056e-01,5.374802393436197701e-01,5.374796825262165845e-01,5.374781692380125042e-01,5.374721745904125214e-01,5.374475350323890677e-01,5.373902461565975841e-01,5.373030776008164144e-01
8.387789863076919872e+00,4.230581380461014840e-01,5.221773168688287337e-01,5.221756969280221261e-01,5.221737891749512750e-01,5.221690988818010748e-01,5.221632223068410905e-01,5.221478081222699075e-01,5.221015339993272386e-01,5.220118065539054442e-01,5.218901581010129131e-01
8.461691095350726499e+00,4.086973987221169113e-01,5.071490889964209714e-01,5.071455118438805698e-01,5.071415950001778583e-01,5.071327310624340612e-01,5.071224738990665060e-01,5.070976795739099430e-01,5.070301877938661050e-01,5.069101067459627075e-01,5.067174879931641840e-01
8.535592327624531350e+00,3.944908180291828437e-01,4.973294418457072652e-01,4.973239166331637762e-01,4.973179959367541869e-01,4.973049545751422329e-01,4.972902895584780936e-01,4.972559670391092368e-01,4.971664023229322993e-01,4.970119144447266990e-01,4.967971125125103526e-01
8.609493559898336201e+00,3.804603234713337390e-01,4.714568626120201889e-01,4.714487357661359401e-01,4.714401585926329408e-01,4.714216452579573224e-01,4.714013060779649322e-01,4.713550806901357082e-01,4.712399229734718920e-01,4.710512169746057798e-01,4.708583860294386914e-01
8.683394792172142829e+00,3.666266957838257290e-01,4.444937293311852500e-01,4.444850039532610708e-01,4.444758505615880040e-01,4.444562612544160629e-01,4.444349647243939216e-01,4.443872671589161882e-01,4.442716296708795198e-01,4.440946435252897118e-01,4.438466195900190314e-01
8.757296024445947680e+00,3.530094595585076545e-01,4.383483285703348997e-01,4.383380150071189973e-01,4.383272299622333890e-01,4.383042454902721374e-01,4.382793755732663499e-01,4.382239843803716894e-01,4.380906798656454271e-01,4.378823552681652131e-01,4.375420533040568216e-01
8.831197256719752531e+00,3.396267902853560838e-01,4.241170187384426526e-01,4.241064031181736027e-01,4.240953334504524719e-01,4.240718367846483261e-01,4.240465390979863969e-01,4.239905887008887930e-01,4.238576896914167946e-01,4.236499101901642916e-01,4.233321276784067777e-01
8.905098488993557382e+00,3.264954384440970081e-01,4.085385302416442155e-01,4.085261446506933680e-01,4.085132720994251176e-01,4.084860743719976317e-01,4.084569547039475501e-01,4.083930306144528122e-01,4.082431449129476086e-01,4.080179224465957377e-01,4.078285568849240317e-01
8.978999721267364009e+00,3.136306709302900120e-01,3.868654598745280282e-01,3.868534352189811898e-01,3.868409825546734737e-01,3.868148114101188639e-01,3.867869848231890728e-01,3.867265353287479002e-01,3.865878293490681017e-01,3.863854497696337376e-01,3.861936247489268226e-01
9.052900953541168860e+00,3.010462297641940399e-01,3.682784280176558123e-01,3.682728385240700009e-01,3.682670669150493459e-01,3.682550015888163553e-01,3.682422825371531871e-01,3.682151017965225037e-01,3.681554962698593836e-01,3.680618213980627051e-01,3.678064720885206307e-01
9.126802185814973711e+00,2.887543077171954020e-01,3.560679740775197222e-01,3.560653170222667918e-01,3.560625962212518036e-01,3.560569912634020118e-01,3.560512171209104793e-01,3.560394102859802956e-01,3.560166796771871978e-01,3.559936442334385442e-01,3.558538341076216138e-01
9.200703418088780339e+00,2.767655402070160475e-01,3.438575201373836876e-01,3.438577955204635828e-01,3.438581255274542059e-01,3.438589809379877238e-01,3.438601517046677714e-01,3.438637187754380875e-01,3.438778630845149564e-01,3.439254670688143278e-01,3.439011961267226525e-01
9.274604650362585190e+00,2.650890125651869100e-01,3.250379586107712271e-01,3.250448978526705446e-01,3.250521238902663868e-01,3.250674660815704442e-01,3.250840465797608658e-01,3.251211833355824865e-01,3.252135646661074020e-01,3.253976498119541816e-01,3.261113721245507691e-01
9.348505882636391817e+00,2.537322815724069591e-01,3.101512111015153894e-01,3.101629657923581362e-01,3.101752184666622947e-01,3.102012626697899234e-01,3.102294372587721116e-01,3.102925843547609253e-01,3.104492637165435776e-01,3.106701556509506301e-01,3.112476998661861671e-01
9.422407114910196668e+00,2.427014099917200185e-01,2.994545751011443713e-01,2.994712788745204080e-01,2.994886166790209359e-01,2.995252267174990379e-01,2.995644727836435095e-01,2.996511700491524266e-01,2.998591808881414522e-01,3.001196355199269306e-01,3.003541301173129341e-01
9.496308347184001519e+00,2.320010127065603722e-01,2.866033171027133619e-01,2.866255905081160904e-01,2.866486694320506956e-01,2.866972695275258332e-01,2.867491715695251742e-01,2.868631245775397076e-01,2.871333858575404463e-01,2.876069190609449322e-01,2.871903796613430870e-01
9.570209579457808147e+00,2.216343129897719033e-01,2.722825689161894047e-01,2.723107009764618169e-01,2.723398165941972593e-01,2.724010168595114578e-01,2.724662091498828431e-01,2.726087521433413485e-01,2.729469367232866261e-01,2.736310860826023372e-01,2.736029825919885639e-01
9.644110811731612998e+00,2.116032073885341647e-01,2.542687600971902384e-01,2.543054238212505425e-01,2.543433164928217138e-01,2.544227857329133258e-01,2.545071598947998837e-01,2.546905631421907401e-01,2.551105683411947211e-01,2.555080762832346863e-01,2.578920272920868229e-01
9.718012044005419625e+00,2.019083377055151951e-01,2.469903979600644450e-01,2.470227579411926055e-01,2.470561503827298222e-01,2.471260162464716248e-01,2.471999600116532858e-01,2.473598891468952732e-01,2.477165224386112530e-01,2.478659799946058284e-01,2.506581702392452482e-01
9.791913276279224476e+00,1.925491685845104606e-01,2.353264895451232519e-01,2.353603266980712760e-01,2.353951887583178859e-01,2.354679428231349902e-01,2.355446525537772118e-01,2.357094368026864117e-01,2.360892170664143919e-01,2.364150755271978710e-01,2.379108605082365102e-01
9.865814508553029327e+00,1.835240692647890914e-01,2.256451981591892086e-01,2.256825781102073936e-01,2.257210152445411899e-01,2.258009675014339412e-01,2.258848470004863884e-01,2.260633825344931236e-01,2.264590696767356803e-01,2.274197569040999067e-01,2.261434062167982650e-01
9.939715740826835955e+00,1.748303981475246849e-01,2.131212272636489047e-01,2.131497568849702873e-01,2.131789578059724022e-01,2.132392553976956151e-01,2.133018638252650589e-01,2.134326687709489079e-01,2.136580130691392299e-01,2.147652326932458777e-01,2.112332529593992092e-01
1.001361697310064081e+01,1.664645889151440128e-01,2.020011371674286238e-01,2.020244081355428989e-01,2.020480074212969157e-01,2.020960359914454330e-01,2.021449093577842859e-01,2.022441466452278291e-01,2.024623652802262086e-01,2.022079942907595296e-01,2.011217575326327278e-01
1.008751820537444743e+01,1.584222370554189685e-01,1.919898819363652365e-01,1.920000656737670397e-01,1.920103021410852762e-01,1.920308296087540612e-01,1.920512166911549912e-01,1.920940611048962410e-01,1.922405382433680643e-01,1.907858486415818788e-01,1.939472116085880771e-01
1.016141943764825051e+01,1.506981857621471910e-01,1.872962114790261978e-01,1.873028169224966177e-01,1.873092924467982812e-01,1.873217895144669853e-01,1.873336251485717696e-01,1.873538348134289322e-01,1.876107071835306783e-01,1.856135938326382018e-01,1.911609129722222633e-01
1.023532066992205536e+01,1.432866103092088894e-01,1.742657947322783230e-01,1.742613054684483131e-01,1.742564966369286594e-01,1.742460081089518553e-01,1.742345256630954964e-01,1.741996811430226444e-01,1.741934913971618926e-01,1.739911068024611041e-01,1.815001402915470408e-01
1.030922190219586199e+01,1.361811001210181116e-01,1.717296629120568241e-01,1.717182737212397114e-01,1.717062663585551263e-01,1.716805254264386349e-01,1.716527293184526570e-01,1.716040741819995219e-01,1.710924543321965530e-01,1.721695553127062794e-01,1.775658668874626755e-01
1.038312313446966684e+01,1.293747378867682318e-01,1.615015267805309518e-01,1.614798579762022068e-01,1.614573630622797018e-01,1.614101424487696668e-01,1.613609552791912261e-01,1.612656072074653557e-01,1.604457424427544465e-01,1.643076428735052164e-01,1.632654507085236351e-01
1.045702436674347346e+01,1.228601751858400537e-01,1.509284307226802790e-01,1.509040920145585940e-01,1.508790734281351964e-01,1.508276915655488160e-01,1.507774871479788115e-01,1.506252689197619399e-01,1.505783676106204894e-01,1.539506041511507217e-01,1.458823351625133935e-01
1.053092559901727832e+01,1.166297042052237276e-01,1.411305993220821620e-01,1.411023520372864937e-01,1.410731056038443398e-01,1.410116227207893758e-01,1.409395062783147523e-01,1.406802171375929333e-01,1.420765138802835281e-01,1.403653517417922103e-01,1.291797173350488492e-01
1.060482683129108494e+01,1.106753252352650485e-01,1.329945416412764703e-01,1.329624405228126138e-01,1.329281354116792213e-01,1.328511145863586762e-01,1.327603036206473630e-01,1.326912201160155291e-01,1.341043562871107042e-01,1.275018847050688464e-01,1.180969061029770728e-01
1.067872806356488979e+01,1.049888097263955988e-01,1.259755177892714073e-01,1.259469427068040659e-01,1.259153568331470296e-01,1.258368148387631891e-01,1.257369152524034916e-01,1.258372359274062546e-01,1.262026218771552522e-01,1.163625136533994464e-01,1.096811761486549130e-01
1.075262929583869465e+01,9.956175877608561264e-02,1.162120809848090630e-01,1.161843499856445305e-01,1.161595214444304247e-01,1.161368667216038375e-01,1.161851114542429286e-01,1.163365099413056214e-01,1.123640111671448949e-01,1.047432596504336288e-01,1.063508110549093999e-01
1.082653052811250127e+01,9.438565699175743839e-02,1.078000495304923950e-01,1.077626009963627146e-01,1.077266836399763394e-01,1.076726335864722495e-01,1.076241043497816463e-01,1.069031841429131657e-01,1.008738803788999522e-01,9.789367215453187443e-02,1.043720921845683464e-01
1.090043176038630612e+01,8.945192174183119738e-02,1.019072012036801311e-01,1.018748065938197556e-01,1.018332193369104743e-01,1.016815006249771614e-01,1.013249523060437696e-01,9.953762365015705882e-02,9.476609814715430957e-02,9.750466493709097904e-02,1.062045421822190860e-01
1.097433299266011275e+01,8.475194786368221711e-02,9.617489226969411220e-02,9.610003344371875755e-02,9.600124798984666086e-02,9.566689002652850604e-02,9.502198999814481795e-02,9.272033377281729827e-02,8.987435369819252173e-02,9.634338700667655075e-02,1.061792000710966022e-01
1.104823422493391760e+01,8.027714794453148783e-02,8.592117573876834058e-02,8.571150018845230534e-02,8.544542202756844063e-02,8.475978013180451853e-02,8.399719870699584590e-02,8.322735133654646233e-02,8.774423630460148615e-02,9.829798910945442003e-02,1.064303674401649857e-01
1.112213545720772245e+01,7.601898832974589293e-02,7.933807276461379843e-02,7.914600180617033243e-02,7.896120852725137251e-02,7.873796122663634378e-02,7.891741669321088171e-02,8.096812711532190565e-02,8.943124261466550706e-02,9.906792857767261762e-02,1.042140938603116213e-01
1.119603668948152730e+01,7.196902104339969464e-02,7.475554059330136170e-02,7.469316957408977942e-02,7.470135028181346115e-02,7.508758193469589060e-02,7.613070518856090985e-02,8.004385995089080552e-02,9.012253360930344570e-02,9.881295237359211114e-02,1.023542807669457488e-01
1.126993792175533216e+01,6.811891182898591190e-02,7.403801707178558900e-02,7.444199771553172695e-02,7.499514573244070448e-02,7.656203669960603975e-02,7.864727355836720335e-02,8.352331023994707948e-02,9.171683245764228332e-02,9.636122144433656445e-02,9.697422152842349874e-02
1.134383915402913878e+01,6.446046453466623694e-02,7.719300522296634881e-02,7.813679378687272969e-02,7.914379000564508715e-02,8.122158202988316589e-02,8.320220826696021754e-02,8.635543172605114615e-02,8.905374739733752654e-02,8.834730350234407115e-02,8.596600334713382086e-02
1.141774038630294363e+01,6.098564207818150951e-02,8.070695024773044679e-02,8.147245885587039993e-02,8.220899423542959994e-02,8.350581833924763941e-02,8.448513795138978821e-02,8.544314525919105563e-02,8.458442987148373504e-02,8.148030431625841175e-02,7.804398371713716642e-02
1.149164161857674848e+01,5.768658423230195453e-02,8.566041057818551963e-02,8.594600345719882739e-02,8.614160090919753543e-02,8.624968438353874944e-02,8.601103328919990076e-02,8.477438711445728359e-02,8.092618321965261430e-02,7.587552393230012626e-02,7.149018643872295797e-02
1.156554285085055511e+01,5.455562247319871438e-02,8.745712068320206367e-02,8.692325383949632556e-02,8.632313860264655137e-02,8.496872994029540382e-02,8.348122624205700504e-02,8.037345341847886016e-02,7.453128266045420947e-02,6.857886723445953681e-02,6.397992981687157521e-02
1.163944408312435996e+01,5.158529213206270586e-02,8.916125118415152428e-02,8.778185871038601817e-02,8.639290115489473010e-02,8.365056505712686885e-02,8.101992280150227543e-02,7.622304216489794726e-02,6.851158985881511398e-02,6.161858761632288406e-02,5.674008480652048547e-02
1.171334531539816659e+01,4.876834208532159626e-02,8.042755754695463111e-02,7.899800254647004749e-02,7.757347070196374261e-02,7.480797114295019423e-02,7.221461319098902709e-02,6.762381208265821897e-02,6.052160667438499786e-02,5.432547221076807625e-02,4.997191057407235348e-02
1.178724654767197144e+01,4.609774221148352918e-02,7.459800904689473100e-02,7.337160281849719468e-02,7.212260075583287744e-02,6.963036427720226129e-02,6.722350187438053126e-02,6.283255069982374152e-02,5.583929331092463144e-02,4.969887864173472281e-02,4.543669241050452001e-02
1.186114777994577629e+01,4.356668883349069932e-02,5.345914277010308663e-02,5.326931757146837615e-02,5.300860931405111665e-02,5.230104988948482830e-02,5.140626381764832470e-02,4.933253905274455342e-02,4.516260193774428167e-02,4.089478051142805132e-02,3.768490939687012264e-02
1.193504901221958292e+01,4.116860835494752513e-02,4.018788227253367040e-02,4.055036905826980842e-02,4.085373526467961369e-02,4.124981080617118323e-02,4.136288060545467715e-02,4.091725119189248971e-02,3.872784428619269192e-02,3.565953674107902316e-02,3.305687951699809446e-02
1.200895024449338777e+01,3.889715928710229392e-02,2.498334386547185204e-02,2.551547446250879148e-02,2.606418889594408483e-02,2.713749480964130004e-02,2.808209261430268458e-02,2.937644715326352338e-02,2.992438086411652876e-02,2.885363220714036100e-02,2.736002155391285481e-02
1.208285147676719440e+01,3.674623285134173689e-02,1.417069419561300947e-02,1.450714221667936954e-02,1.489582173319092817e-02,1.580517552620364086e-02,1.681967076530810346e-02,1.879721683805257726e-02,2.133928103616966609e-02,2.218469346755114202e-02,2.187513495887571935e-02
1.215675270904099925e+01,3.470995232950316312e-02,8.483461588539853437e-03,8.644370520746255324e-03,8.846001435647584885e-03,9.389594051597782709e-03,1.011686660284757087e-02,1.191028275828879580e-02,1.519355870313650846e-02,1.728540277037874870e-02,1.786643725123819235e-02
1.223065394131480410e+01,3.278267132175342186e-02,5.654192275116542987e-03,5.743920527152113209e-03,5.860987148679441816e-03,6.210979909823777234e-03,6.749000900413193449e-03,8.313665504886103008e-03,1.184482549007270791e-02,1.472758640754534554e-02,1.591097840163513411e-02
1.230455517358861073e+01,3.095897105933172536e-02,3.477567283238970890e-03,3.502343199573130800e-03,3.529676784694402158e-03,3.602830557554170809e-03,3.730116740533568395e-03,4.287678382106767730e-03,6.521809825942780255e-03,9.356483911769178027e-03,1.109777468278139168e-02
1.237845640586241558e+01,2.923365690726034000e-02,2.641437797976209367e-03,2.657833563795009013e-03,2.674196149456520288e-03,2.710277886819767446e-03,2.767151749480945000e-03,3.069874002239458832e-03,4.754885635701810997e-03,7.433037911781070761e-03,9.327887039173532457e-03
1.245235763813622221e+01,2.760175418032206202e-02,1.447513463801897160e-03,1.455148259310590220e-03,1.462540384077707810e-03,1.474551043467424048e-03,1.480240927605791512e-03,1.506179504199659956e-03,2.194284752083793585e-03,4.249778361279747500e-03,6.241748964853854886e-03
1.252625887041002528e+01,2.605850338427791180e-02,7.421277984178686893e-04,7.445025726277825070e-04,7.468770743141053912e-04,7.518716165780656071e-04,7.562045527436112025e-04,7.440788187653067610e-04,7.930974817286694191e-04,1.860126906568179391e-03,3.547242931720769911e-03
1.260016010268383191e+01,2.459935498352693040e-02,5.248136170147669208e-04,5.259891780156067398e-04,5.270653977807645543e-04,5.292722091591409725e-04,5.322785032622808768e-04,5.322969054191162286e-04,4.868403399456155967e-04,1.106774321414150108e-03,2.496851748418293937e-03
1.267406133495763676e+01,2.321996378623663454e-02,4.408489402578652516e-04,4.423072997212784685e-04,4.437886957191494730e-04,4.470239931322339544e-04,4.511500758610509365e-04,4.616929163034910744e-04,4.550594903207638708e-04,8.271917454578670004e-04,1.864288006856895663e-03
1.274796256723144161e+01,2.191618302842862978e-02,2.355908391251659850e-04,2.362001182376616271e-04,2.367251280048776607e-04,2.374446472686031484e-04,2.376998357789261718e-04,2.408351794684904235e-04,2.376578590741473818e-04,2.733210519210160783e-04,8.656851147890165521e-04
1.282186379950524824e+01,2.068405822960427479e-02,1.748394311624162467e-04,1.753194363697151625e-04,1.757604185131226876e-04,1.765089515763727096e-04,1.770456687443749499e-04,1.782125192345450837e-04,1.938805388771346538e-04,2.161368192255188486e-04,5.522456605872735035e-04
1.289576503177905309e+01,1.951982088424025763e-02,9.373115697286493742e-05,9.412777767181523814e-05,9.451792749359810841e-05,9.527463321745699432e-05,9.599660656789410496e-05,9.696471511944082522e-05,1.112412630419612469e-04,1.400044120956067673e-04,2.379097129647789188e-04
1.296966626405285972e+01,1.841988204586620520e-02,8.091455586622942064e-05,8.118832889181248902e-05,8.144934204779019637e-05,8.192558641439973144e-05,8.232305049205024261e-05,8.263410785502856015e-05,8.645690073194600700e-05,1.126233379693530878e-04,2.062811709606648947e-04
1.304356749632666457e+01,1.738082585344042155e-02,4.899948154957201041e-05,4.926299126140065709e-05,4.952976561156674506e-05,5.007268612544635289e-05,5.062679296941041684e-05,5.179128238808061724e-05,5.446560486177531857e-05,1.039249226479910249e-04,1.491213878139774351e-04
1.311746872860046942e+01,1.639940304334223942e-02,2.760697220575518068e-05,2.777190821727041831e-05,2.794068601967107307e-05,2.828969863344354962e-05,2.865354661215254245e-05,2.943477077603044373e-05,3.037000213150046685e-05,6.105729846694885055e-05,1.218241849253824254e-04
1.319136996087427605e+01,1.547252448447530501e-02,1.354777981532606645e-05,1.364592489494498295e-05,1.374749268734376528e-05,1.396140183373972832e-05,1.419078071762669424e-05,1.469999790515430504e-05,1.629848088668950368e-05,2.921067317629422178e-05,1.011758464528611512e-04
1.326527119314808090e+01,1.459725476869444018e-02,1.018928893756765353e-05,1.026501629155518424e-05,1.034343136439019906e-05,1.050864088654179863e-05,1.068564993431664368e-05,1.107897564054383144e-05,1.236989034509861153e-05,2.012048828703427716e-05,8.387700639786999633e-05
