r_mm,requested,I_50mm_after_L2,I_75mm_after_L2,I_100mm_after_L2,I_150mm_after_L2,I_200mm_after_L2,I_300mm_after_L2,I_500mm_after_L2,I_750mm_after_L2,I_1000mm_after_L2
6.688061520779394975e+00,7.406886279307201004e-01,8.421190881187499144e-01,8.421161612443555100e-01,8.421130919527328729e-01,8.421065272339518515e-01,8.420993961660485638e-01,8.420834444354383663e-01,8.420448539304601354e-01,8.419843130841186962e-01,8.419104751640489326e-01
6.761962753053199826e+00,7.291728070551828367e-01,8.320433106582677540e-01,8.320401423166147170e-01,8.320368255929616597e-01,8.320297486460682679e-01,8.320220831115429094e-01,8.320050003028854890e-01,8.319639329909983561e-01,8.319000014874015081e-01,8.318226109065635088e-01
6.835863985327004677e+00,7.173407395639845863e-01,8.219675331977853716e-01,8.219641233888737020e-01,8.219605592331902244e-01,8.219529700581844622e-01,8.219447700570370330e-01,8.219265561703323897e-01,8.218830120515363546e-01,8.218156898906840979e-01,8.217347466490778629e-01
6.909765217600810416e+00,7.052007350488543880e-01,8.148701304860139771e-01,8.148668894983662758e-01,8.148634977889533948e-01,8.148562646458022973e-01,8.148484359730995275e-01,8.148310128582826328e-01,8.147892580520211814e-01,8.147246047763777588e-01,8.146468652574773150e-01
6.983666449874616156e+00,6.927626440153898946e-01,8.032897107379994850e-01,8.032867237056677823e-01,8.032835899246890676e-01,8.032768848051375921e-01,8.032696008067204962e-01,8.032533192200446148e-01,8.032140732696007035e-01,8.031530383786218419e-01,8.030795824233620817e-01
7.057567682148421895e+00,6.800378725078860542e-01,7.924991373810641448e-01,7.924967427548992305e-01,7.924942134012695760e-01,7.924887532704332216e-01,7.924827625858412716e-01,7.924692131345167923e-01,7.924360171424851274e-01,7.923836515396089908e-01,7.923200630478035578e-01
7.131468914422227634e+00,6.670393818964449606e-01,7.833913967961194658e-01,7.833894662904015149e-01,7.833874091137005280e-01,7.833829175805391287e-01,7.833779278613803854e-01,7.833664779449946991e-01,7.833378755234861046e-01,7.832920095871003241e-01,7.832357660259248178e-01
7.205370146696033373e+00,6.537816728196755856e-01,7.732709671414710328e-01,7.732699724148233145e-01,7.732688706170165460e-01,7.732663483882618038e-01,7.732634056076364004e-01,7.732562803453930655e-01,7.732372329654708665e-01,7.732049488612204868e-01,7.731640678441920045e-01
7.279271378969838224e+00,6.402807525042757408e-01,7.550108560448762773e-01,7.550112989632395966e-01,7.550116610703980768e-01,7.550121450495055342e-01,7.550123124054408663e-01,7.550117159959768287e-01,7.550069383815980473e-01,7.549946972233811948e-01,7.549760917465704324e-01
7.353172611243643964e+00,6.265540849488708819e-01,7.418325141225239339e-01,7.418340986115424807e-01,7.418356245307222707e-01,7.418385022504822013e-01,7.418411504713958715e-01,7.418457719625279889e-01,7.418524155449744972e-01,7.418561705249941962e-01,7.418553306782484924e-01
7.427073843517449703e+00,6.126205237587125652e-01,7.316903550270552614e-01,7.316932121319013049e-01,7.316960341867163597e-01,7.317015743575296938e-01,7.317069779596133694e-01,7.317173859163688121e-01,7.317366845686308352e-01,7.317582345208629713e-01,7.317775033896177783e-01
7.500975075791254554e+00,5.985002277435614859e-01,7.098069996612205168e-01,7.098115807626518281e-01,7.098161559938821474e-01,7.098252889547088662e-01,7.098343987040985903e-01,7.098525495811619512e-01,7.098885851931271418e-01,7.099331696126304214e-01,7.099771462550279466e-01
7.574876308065060293e+00,5.842145597350094643e-01,6.965467677011100145e-01,6.965522668566540565e-01,6.965577735441120799e-01,6.965688088565282765e-01,6.965798722462182013e-01,6.966020777015605736e-01,6.966467623408074683e-01,6.967030098522618564e-01,6.967594084647572572e-01
