# PM780 long-throw L2
# r_mm, sag_um
0.000000, -0.0000
0.001289, -0.0000
0.003046, -0.0001
0.004876, -0.0002
0.006679, -0.0003
0.008497, -0.0005
0.010312, -0.0008
0.012125, -0.0011
0.013946, -0.0015
0.015756, -0.0019
0.017579, -0.0023
0.019387, -0.0028
0.021209, -0.0034
0.023019, -0.0040
0.024838, -0.0047
0.026651, -0.0054
0.028468, -0.0061
0.030284, -0.0069
0.032099, -0.0078
0.033917, -0.0087
0.035730, -0.0097
0.037550, -0.0107
0.039362, -0.0117
0.041181, -0.0128
0.042994, -0.0140
0.044812, -0.0152
0.046626, -0.0164
0.048442, -0.0177
0.050258, -0.0191
0.052074, -0.0205
0.053891, -0.0220
0.055705, -0.0235
0.057523, -0.0250
0.059337, -0.0266
0.061155, -0.0283
0.062969, -0.0300
0.064786, -0.0317
0.066601, -0.0335
0.068417, -0.0354
0.070233, -0.0373
0.072048, -0.0392
0.073865, -0.0412
0.075680, -0.0433
0.077497, -0.0454
0.079311, -0.0475
0.081129, -0.0497
0.082943, -0.0520
0.084760, -0.0543
0.086575, -0.0566
0.088391, -0.0590
0.090207, -0.0615
0.092023, -0.0640
0.093839, -0.0665
0.095654, -0.0691
0.097471, -0.0718
0.099286, -0.0745
0.101103, -0.0772
0.102918, -0.0800
0.104734, -0.0829
0.106549, -0.0858
0.108365, -0.0887
0.110181, -0.0917
0.111997, -0.0948
0.113813, -0.0979
0.115628, -0.1010
0.117445, -0.1042
0.119260, -0.1075
0.121077, -0.1108
0.122891, -0.1141
0.124708, -0.1175
0.126523, -0.1209
0.128339, -0.1244
0.130155, -0.1280
0.131970, -0.1316
0.133786, -0.1352
0.135602, -0.1389
0.137418, -0.1427
0.139233, -0.1464
0.141050, -0.1503
0.142864, -0.1542
0.144681, -0.1581
0.146496, -0.1621
0.148312, -0.1662
0.150127, -0.1703
0.151943, -0.1744
0.153759, -0.1786
0.155574, -0.1828
0.157391, -0.1871
0.159205, -0.1915
0.161022, -0.1959
0.162837, -0.2003
0.164653, -0.2048
0.166468, -0.2093
0.168284, -0.2139
0.170099, -0.2186
0.171915, -0.2233
0.173731, -0.2280
0.175546, -0.2328
0.177362, -0.2376
0.179177, -0.2425
0.180993, -0.2475
0.182808, -0.2524
0.184624, -0.2575
0.186439, -0.2626
0.188255, -0.2677
0.190070, -0.2729
0.191885, -0.2781
0.193701, -0.2834
0.195516, -0.2887
0.197332, -0.2941
0.199147, -0.2996
0.200963, -0.3051
0.202778, -0.3106
0.204594, -0.3162
0.206409, -0.3218
0.208224, -0.3275
0.210039, -0.3332
0.211855, -0.3390
0.213670, -0.3449
0.215485, -0.3507
0.217301, -0.3567
0.219116, -0.3627
0.220932, -0.3687
0.222746, -0.3748
0.224562, -0.3809
0.226377, -0.3871
0.228192, -0.3933
0.230007, -0.3996
0.231823, -0.4059
0.233638, -0.4123
0.235453, -0.4187
0.237268, -0.4252
0.239083, -0.4318
0.240899, -0.4383
0.242713, -0.4450
0.244529, -0.4516
0.246344, -0.4584
0.248159, -0.4651
0.249974, -0.4720
0.251789, -0.4789
0.253604, -0.4858
0.255419, -0.4928
0.257234, -0.4998
0.259049, -0.5069
0.260864, -0.5140
0.262679, -0.5212
0.264494, -0.5284
0.266309, -0.5357
0.268124, -0.5430
0.269939, -0.5504
0.271754, -0.5578
0.273568, -0.5653
0.275383, -0.5728
0.277198, -0.5804
0.279013, -0.5880
0.280828, -0.5957
0.282642, -0.6034
0.284458, -0.6112
0.286272, -0.6190
0.288087, -0.6269
0.289901, -0.6348
0.291716, -0.6427
0.293531, -0.6508
0.295345, -0.6588
0.297160, -0.6670
0.298975, -0.6751
0.300790, -0.6833
0.302604, -0.6916
0.304419, -0.6999
0.306233, -0.7083
0.308048, -0.7167
0.309862, -0.7252
0.311677, -0.7337
0.313491, -0.7423
0.315305, -0.7509
0.317120, -0.7596
0.318934, -0.7683
0.320749, -0.7770
0.322563, -0.7858
0.324378, -0.7947
0.326192, -0.8036
0.328006, -0.8126
0.329820, -0.8216
0.331635, -0.8307
0.333449, -0.8398
0.335263, -0.8489
0.337078, -0.8582
0.338892, -0.8674
0.340706, -0.8767
0.342520, -0.8861
0.344335, -0.8955
0.346148, -0.9050
0.347963, -0.9145
0.349776, -0.9240
0.351591, -0.9336
0.353405, -0.9433
0.355219, -0.9530
0.357033, -0.9628
0.358846, -0.9726
0.360661, -0.9824
0.362474, -0.9923
0.364289, -1.0023
0.366102, -1.0123
0.367916, -1.0223
0.369730, -1.0324
0.371544, -1.0426
0.373357, -1.0528
0.375171, -1.0631
0.376985, -1.0734
0.378799, -1.0837
0.380613, -1.0941
0.382426, -1.1046
0.384240, -1.1151
0.386053, -1.1256
0.387867, -1.1362
0.389680, -1.1469
0.391494, -1.1576
0.393308, -1.1683
0.395121, -1.1791
0.396935, -1.1900
0.398748, -1.2008
0.400562, -1.2118
0.402375, -1.2228
0.404188, -1.2338
0.406001, -1.2449
0.407815, -1.2561
0.409628, -1.2673
0.411442, -1.2785
0.413255, -1.2898
0.415068, -1.3011
0.416881, -1.3125
0.418694, -1.3240
0.420507, -1.3355
0.422320, -1.3470
0.424134, -1.3586
0.425947, -1.3702
0.427760, -1.3819
0.429573, -1.3937
0.431386, -1.4055
0.433199, -1.4173
0.435012, -1.4292
0.436824, -1.4411
0.438637, -1.4531
0.440450, -1.4651
0.442263, -1.4772
0.444076, -1.4894
0.445889, -1.5015
0.447702, -1.5138
0.449514, -1.5260
0.451327, -1.5384
0.453139, -1.5508
0.454952, -1.5632
0.456765, -1.5757
0.458577, -1.5882
0.460390, -1.6008
0.462202, -1.6134
0.464015, -1.6261
0.465827, -1.6388
0.467640, -1.6516
0.469452, -1.6644
0.471264, -1.6773
0.473077, -1.6902
0.474889, -1.7032
0.476701, -1.7162
0.478513, -1.7293
0.480326, -1.7424
0.482138, -1.7556
0.483950, -1.7688
0.485762, -1.7821
0.487574, -1.7954
0.489386, -1.8087
0.491198, -1.8222
0.493010, -1.8356
0.494822, -1.8491
0.496634, -1.8627
0.498446, -1.8763
0.500258, -1.8900
0.502070, -1.9037
0.503882, -1.9175
0.505693, -1.9313
0.507505, -1.9451
0.509317, -1.9591
0.511129, -1.9730
0.512940, -1.9870
0.514752, -2.0011
0.516563, -2.0152
0.518375, -2.0294
0.520186, -2.0436
0.521998, -2.0578
0.523809, -2.0721
0.525621, -2.0865
0.527432, -2.1009
0.529243, -2.1153
0.531055, -2.1298
0.532866, -2.1444
0.534677, -2.1590
0.536488, -2.1736
0.538300, -2.1883
0.540111, -2.2031
0.541922, -2.2179
0.543733, -2.2327
0.545544, -2.2476
0.547355, -2.2626
0.549166, -2.2776
0.550977, -2.2926
0.552788, -2.3077
0.554599, -2.3228
0.556409, -2.3380
0.558220, -2.3533
0.560031, -2.3686
0.561842, -2.3839
0.563652, -2.3993
0.565463, -2.4147
0.567273, -2.4302
0.569084, -2.4458
0.570895, -2.4613
0.572705, -2.4770
0.574516, -2.4927
0.576326, -2.5084
0.578137, -2.5242
0.579947, -2.5400
0.581757, -2.5559
0.583567, -2.5718
0.585378, -2.5878
0.587188, -2.6038
0.588998, -2.6199
0.590808, -2.6360
0.592618, -2.6522
0.594428, -2.6684
0.596238, -2.6847
0.598048, -2.7010
0.599858, -2.7174
0.601668, -2.7338
0.603478, -2.7503
0.605288, -2.7668
0.607097, -2.7834
0.608907, -2.8000
0.610717, -2.8166
0.612526, -2.8334
0.614336, -2.8501
0.616146, -2.8669
0.617955, -2.8838
0.619765, -2.9007
0.621574, -2.9177
0.623383, -2.9347
0.625193, -2.9517
0.627002, -2.9689
0.628812, -2.9860
0.630621, -3.0032
0.632430, -3.0205
0.634239, -3.0378
0.636048, -3.0551
0.637857, -3.0725
0.639666, -3.0900
0.641476, -3.1075
0.643284, -3.1250
0.645093, -3.1426
0.646902, -3.1603
0.648711, -3.1780
0.650520, -3.1957
0.652329, -3.2135
0.654137, -3.2313
0.655946, -3.2492
0.657755, -3.2672
0.659563, -3.2852
0.661372, -3.3032
0.663180, -3.3213
0.664989, -3.3394
0.666797, -3.3576
0.668606, -3.3758
0.670414, -3.3941
0.672222, -3.4125
0.674030, -3.4308
0.675839, -3.4493
0.677647, -3.4678
0.679455, -3.4863
0.681263, -3.5049
0.683071, -3.5235
0.684879, -3.5422
0.686687, -3.5609
0.688495, -3.5797
0.690303, -3.5985
0.692111, -3.6173
0.693918, -3.6363
0.695726, -3.6552
0.697533, -3.6742
0.699341, -3.6933
0.701149, -3.7124
0.702956, -3.7316
0.704764, -3.7508
0.706571, -3.7701
0.708379, -3.7894
0.710186, -3.8087
0.711993, -3.8281
0.713800, -3.8476
0.715608, -3.8671
0.717415, -3.8866
0.719222, -3.9062
0.721029, -3.9259
0.722836, -3.9456
0.724643, -3.9653
0.726450, -3.9851
0.728257, -4.0050
0.730064, -4.0249
0.731870, -4.0448
0.733677, -4.0648
0.735484, -4.0849
0.737290, -4.1049
0.739097, -4.1251
0.740904, -4.1453
0.742710, -4.1655
0.744517, -4.1858
0.746323, -4.2061
0.748129, -4.2265
0.749936, -4.2469
0.751742, -4.2674
0.753548, -4.2879
0.755354, -4.3085
0.757160, -4.3292
0.758967, -4.3498
0.760772, -4.3705
0.762579, -4.3913
0.764384, -4.4121
0.766190, -4.4330
0.767996, -4.4539
0.769802, -4.4749
0.771607, -4.4959
0.773413, -4.5170
0.775219, -4.5381
0.777024, -4.5592
0.778830, -4.5804
0.780635, -4.6017
0.782441, -4.6230
0.784246, -4.6444
0.786051, -4.6658
0.787857, -4.6872
0.789662, -4.7087
0.791467, -4.7303
0.793272, -4.7519
0.795077, -4.7735
0.796882, -4.7952
0.798687, -4.8170
0.800492, -4.8387
0.802297, -4.8606
0.804101, -4.8825
0.805906, -4.9044
0.807711, -4.9264
0.809516, -4.9484
0.811320, -4.9705
0.813125, -4.9926
0.814929, -5.0148
0.816734, -5.0371
0.818538, -5.0593
0.820342, -5.0817
0.822146, -5.1040
0.823951, -5.1264
0.825755, -5.1489
0.827559, -5.1714
0.829363, -5.1940
0.831167, -5.2166
0.832971, -5.2393
0.834775, -5.2620
0.836579, -5.2848
0.838382, -5.3076
0.840186, -5.3304
0.841990, -5.3533
0.843793, -5.3763
0.845597, -5.3993
0.847400, -5.4223
0.849204, -5.4454
0.851007, -5.4686
0.852810, -5.4918
0.854614, -5.5150
