# PM780 long-throw L1
# r_mm, sag_um
0.046517, -0.1838
0.046678, -0.1851
0.046840, -0.1864
0.047001, -0.1877
0.047163, -0.1890
0.047324, -0.1903
0.047486, -0.1916
0.047647, -0.1929
0.047809, -0.1942
0.047970, -0.1955
0.048132, -0.1968
0.048293, -0.1981
0.048455, -0.1994
0.048616, -0.2008
0.048778, -0.2021
0.048939, -0.2035
0.049101, -0.2048
0.049262, -0.2061
0.049424, -0.2075
0.049585, -0.2089
0.049747, -0.2102
0.049908, -0.2116
0.050070, -0.2130
0.050232, -0.2143
0.050393, -0.2157
0.050555, -0.2171
0.050716, -0.2185
0.050878, -0.2199
0.051039, -0.2213
0.051201, -0.2227
0.051362, -0.2241
0.051524, -0.2255
0.051685, -0.2269
0.051847, -0.2283
0.052008, -0.2297
0.052170, -0.2312
0.052331, -0.2326
0.052493, -0.2340
0.052654, -0.2355
0.052816, -0.2369
0.052977, -0.2384
0.053139, -0.2398
0.053300, -0.2413
0.053462, -0.2427
0.053623, -0.2442
0.053785, -0.2457
0.053946, -0.2472
0.054108, -0.2486
0.054269, -0.2501
0.054431, -0.2516
0.054592, -0.2531
0.054754, -0.2546
0.054915, -0.2561
0.055077, -0.2576
0.055239, -0.2591
0.055400, -0.2606
0.055562, -0.2622
0.055723, -0.2637
0.055885, -0.2652
0.056046, -0.2668
0.056208, -0.2683
0.056369, -0.2698
0.056531, -0.2714
0.056692, -0.2729
0.056854, -0.2745
0.057015, -0.2761
0.057177, -0.2776
0.057338, -0.2792
0.057500, -0.2808
0.057661, -0.2823
0.057823, -0.2839
0.057984, -0.2855
0.058146, -0.2871
0.058307, -0.2887
0.058469, -0.2903
0.058630, -0.2919
0.058792, -0.2935
0.058953, -0.2951
0.059115, -0.2967
0.059276, -0.2984
0.059438, -0.3000
0.059599, -0.3016
0.059761, -0.3032
0.059922, -0.3049
0.060084, -0.3065
0.060246, -0.3082
0.060407, -0.3098
0.060569, -0.3115
0.060730, -0.3131
0.060892, -0.3148
0.061053, -0.3165
0.061215, -0.3182
0.061376, -0.3198
0.061538, -0.3215
0.061699, -0.3232
0.061861, -0.3249
0.062022, -0.3266
0.062184, -0.3283
0.062345, -0.3300
0.062507, -0.3317
0.062668, -0.3334
0.062830, -0.3351
0.062991, -0.3369
0.063153, -0.3386
0.063314, -0.3403
0.063476, -0.3421
0.063637, -0.3438
0.063799, -0.3456
0.063960, -0.3473
0.064122, -0.3491
0.064283, -0.3508
0.064445, -0.3526
0.064606, -0.3543
0.064768, -0.3561
0.064929, -0.3579
0.065091, -0.3597
0.065253, -0.3615
0.065414, -0.3632
0.065576, -0.3650
0.065737, -0.3668
0.065899, -0.3686
0.066060, -0.3704
0.066222, -0.3723
0.066383, -0.3741
0.066545, -0.3759
0.066706, -0.3777
0.066868, -0.3795
0.067029, -0.3814
0.067191, -0.3832
0.067352, -0.3851
0.067514, -0.3869
0.067675, -0.3888
0.067837, -0.3906
0.067998, -0.3925
0.068160, -0.3943
0.068321, -0.3962
0.068483, -0.3981
0.068644, -0.4000
0.068806, -0.4018
0.068967, -0.4037
0.069129, -0.4056
0.069290, -0.4075
0.069452, -0.4094
0.069613, -0.4113
0.069775, -0.4132
0.069936, -0.4151
0.070098, -0.4171
0.070260, -0.4190
0.070421, -0.4209
0.070583, -0.4228
0.070744, -0.4248
0.070906, -0.4267
0.071067, -0.4286
0.071229, -0.4306
0.071390, -0.4325
0.071552, -0.4345
0.071713, -0.4365
0.071875, -0.4384
0.072036, -0.4404
0.072198, -0.4424
0.072359, -0.4443
0.072521, -0.4463
0.072682, -0.4483
0.072844, -0.4503
0.073005, -0.4523
0.073167, -0.4543
0.073328, -0.4563
0.073490, -0.4583
0.073651, -0.4603
0.073813, -0.4624
0.073974, -0.4644
0.074136, -0.4664
0.074297, -0.4684
0.074459, -0.4705
0.074620, -0.4725
0.074782, -0.4746
0.074943, -0.4766
0.075105, -0.4787
0.075267, -0.4807
0.075428, -0.4828
0.075590, -0.4848
0.075751, -0.4869
0.075913, -0.4890
0.076074, -0.4911
0.076236, -0.4932
0.076397, -0.4952
0.076559, -0.4973
0.076720, -0.4994
0.076882, -0.5015
0.077043, -0.5036
0.077205, -0.5057
0.077366, -0.5079
0.077528, -0.5100
0.077689, -0.5121
0.077851, -0.5142
0.078012, -0.5164
0.078174, -0.5185
0.078335, -0.5206
0.078497, -0.5228
0.078658, -0.5249
0.078820, -0.5271
0.078981, -0.5293
0.079143, -0.5314
0.079304, -0.5336
0.079466, -0.5358
0.079627, -0.5379
0.079789, -0.5401
0.079950, -0.5423
0.080112, -0.5445
0.080274, -0.5467
0.080435, -0.5489
0.080597, -0.5511
0.080758, -0.5533
0.080920, -0.5555
0.081081, -0.5577
0.081243, -0.5599
0.081404, -0.5622
0.081566, -0.5644
0.081727, -0.5666
0.081889, -0.5689
0.082050, -0.5711
0.082212, -0.5733
0.082373, -0.5756
0.082535, -0.5779
0.082696, -0.5801
0.082858, -0.5824
0.083019, -0.5846
0.083181, -0.5869
0.083342, -0.5892
0.083504, -0.5915
0.083665, -0.5938
0.083827, -0.5961
0.083988, -0.5983
0.084150, -0.6006
0.084311, -0.6030
0.084473, -0.6053
0.084634, -0.6076
0.084796, -0.6099
0.084957, -0.6122
0.085119, -0.6145
0.085281, -0.6169
0.085442, -0.6192
0.085604, -0.6215
0.085765, -0.6239
0.085927, -0.6262
0.086088, -0.6286
0.086250, -0.6309
0.086411, -0.6333
0.086573, -0.6357
0.086734, -0.6380
0.086896, -0.6404
0.087057, -0.6428
0.087219, -0.6452
0.087380, -0.6476
0.087542, -0.6499
0.087703, -0.6523
0.087865, -0.6547
0.088026, -0.6571
0.088188, -0.6596
0.088349, -0.6620
0.088511, -0.6644
0.088672, -0.6668
0.088834, -0.6692
0.088995, -0.6717
0.089157, -0.6741
0.089318, -0.6765
0.089480, -0.6790
0.089641, -0.6814
0.089803, -0.6839
0.089964, -0.6863
0.090126, -0.6888
0.090288, -0.6913
0.090449, -0.6937
0.090611, -0.6962
0.090772, -0.6987
0.090934, -0.7012
0.091095, -0.7037
0.091257, -0.7062
0.091418, -0.7086
0.091580, -0.7111
0.091741, -0.7137
0.091903, -0.7162
0.092064, -0.7187
0.092226, -0.7212
0.092387, -0.7237
0.092549, -0.7262
0.092710, -0.7288
0.092872, -0.7313
0.093033, -0.7339
0.093195, -0.7364
0.093356, -0.7389
0.093518, -0.7415
0.093679, -0.7441
0.093841, -0.7466
0.094002, -0.7492
0.094164, -0.7518
0.094325, -0.7543
0.094487, -0.7569
0.094648, -0.7595
0.094810, -0.7621
0.094971, -0.7647
0.095133, -0.7673
0.095295, -0.7699
0.095456, -0.7725
0.095618, -0.7751
0.095779, -0.7777
0.095941, -0.7803
0.096102, -0.7829
0.096264, -0.7856
0.096425, -0.7882
0.096587, -0.7908
0.096748, -0.7935
0.096910, -0.7961
0.097071, -0.7988
0.097233, -0.8014
0.097394, -0.8041
0.097556, -0.8068
0.097717, -0.8094
0.097879, -0.8121
0.098040, -0.8148
0.098202, -0.8174
0.098363, -0.8201
0.098525, -0.8228
0.098686, -0.8255
0.098848, -0.8282
0.099009, -0.8309
0.099171, -0.8336
0.099332, -0.8363
0.099494, -0.8390
0.099655, -0.8418
0.099817, -0.8445
0.099978, -0.8472
0.100140, -0.8499
0.100302, -0.8527
0.100463, -0.8554
0.100625, -0.8582
0.100786, -0.8609
0.100948, -0.8637
0.101109, -0.8664
0.101271, -0.8692
0.101432, -0.8720
0.101594, -0.8747
0.101755, -0.8775
0.101917, -0.8803
0.102078, -0.8831
0.102240, -0.8859
0.102401, -0.8887
0.102563, -0.8915
0.102724, -0.8943
0.102886, -0.8971
0.103047, -0.8999
0.103209, -0.9027
0.103370, -0.9055
0.103532, -0.9083
0.103693, -0.9112
0.103855, -0.9140
0.104016, -0.9168
0.104178, -0.9197
0.104339, -0.9225
0.104501, -0.9254
0.104662, -0.9282
0.104824, -0.9311
0.104985, -0.9340
0.105147, -0.9368
0.105309, -0.9397
0.105470, -0.9426
0.105632, -0.9454
0.105793, -0.9483
0.105955, -0.9512
0.106116, -0.9541
0.106278, -0.9570
0.106439, -0.9599
0.106601, -0.9628
0.106762, -0.9657
0.106924, -0.9687
0.107085, -0.9716
0.107247, -0.9745
0.107408, -0.9774
0.107570, -0.9804
0.107731, -0.9833
0.107893, -0.9862
0.108054, -0.9892
0.108216, -0.9921
0.108377, -0.9951
0.108539, -0.9981
0.108700, -1.0010
0.108862, -1.0040
0.109023, -1.0070
0.109185, -1.0099
0.109346, -1.0129
0.109508, -1.0159
0.109669, -1.0189
0.109831, -1.0219
0.109992, -1.0249
0.110154, -1.0279
0.110316, -1.0309
0.110477, -1.0339
0.110639, -1.0369
0.110800, -1.0399
0.110962, -1.0430
0.111123, -1.0460
0.111285, -1.0490
0.111446, -1.0521
0.111608, -1.0551
0.111769, -1.0582
0.111931, -1.0612
0.112092, -1.0643
0.112254, -1.0673
0.112415, -1.0704
0.112577, -1.0735
0.112738, -1.0765
