# L1 soft-edge 20mm
# r_mm, sag_um
0.041044, -0.1807
0.041187, -0.1819
0.041329, -0.1832
0.041472, -0.1845
0.041614, -0.1857
0.041757, -0.1870
0.041899, -0.1883
0.042042, -0.1896
0.042184, -0.1909
0.042327, -0.1921
0.042469, -0.1934
0.042612, -0.1947
0.042754, -0.1960
0.042897, -0.1973
0.043039, -0.1987
0.043182, -0.2000
0.043324, -0.2013
0.043467, -0.2026
0.043609, -0.2040
0.043752, -0.2053
0.043894, -0.2066
0.044037, -0.2080
0.044179, -0.2093
0.044322, -0.2107
0.044464, -0.2120
0.044607, -0.2134
0.044749, -0.2147
0.044892, -0.2161
0.045035, -0.2175
0.045177, -0.2189
0.045320, -0.2202
0.045462, -0.2216
0.045605, -0.2230
0.045747, -0.2244
0.045890, -0.2258
0.046032, -0.2272
0.046175, -0.2286
0.046317, -0.2300
0.046460, -0.2314
0.046602, -0.2329
0.046745, -0.2343
0.046887, -0.2357
0.047030, -0.2372
0.047172, -0.2386
0.047315, -0.2400
0.047457, -0.2415
0.047600, -0.2429
0.047742, -0.2444
0.047885, -0.2458
0.048027, -0.2473
0.048170, -0.2488
0.048312, -0.2503
0.048455, -0.2517
0.048597, -0.2532
0.048740, -0.2547
0.048882, -0.2562
0.049025, -0.2577
0.049167, -0.2592
0.049310, -0.2607
0.049452, -0.2622
0.049595, -0.2637
0.049737, -0.2652
0.049880, -0.2667
0.050023, -0.2683
0.050165, -0.2698
0.050308, -0.2713
0.050450, -0.2729
0.050593, -0.2744
0.050735, -0.2759
0.050878, -0.2775
0.051020, -0.2791
0.051163, -0.2806
0.051305, -0.2822
0.051448, -0.2837
0.051590, -0.2853
0.051733, -0.2869
0.051875, -0.2885
0.052018, -0.2901
0.052160, -0.2916
0.052303, -0.2932
0.052445, -0.2948
0.052588, -0.2964
0.052730, -0.2980
0.052873, -0.2997
0.053015, -0.3013
0.053158, -0.3029
0.053300, -0.3045
0.053443, -0.3061
0.053585, -0.3078
0.053728, -0.3094
0.053870, -0.3111
0.054013, -0.3127
0.054155, -0.3144
0.054298, -0.3160
0.054440, -0.3177
0.054583, -0.3193
0.054725, -0.3210
0.054868, -0.3227
0.055011, -0.3243
0.055153, -0.3260
0.055296, -0.3277
0.055438, -0.3294
0.055581, -0.3311
0.055723, -0.3328
0.055866, -0.3345
0.056008, -0.3362
0.056151, -0.3379
0.056293, -0.3396
0.056436, -0.3413
0.056578, -0.3431
0.056721, -0.3448
0.056863, -0.3465
0.057006, -0.3483
0.057148, -0.3500
0.057291, -0.3518
0.057433, -0.3535
0.057576, -0.3553
0.057718, -0.3570
0.057861, -0.3588
0.058003, -0.3605
0.058146, -0.3623
0.058288, -0.3641
0.058431, -0.3659
0.058573, -0.3677
0.058716, -0.3694
0.058858, -0.3712
0.059001, -0.3730
0.059143, -0.3748
0.059286, -0.3766
0.059428, -0.3785
0.059571, -0.3803
0.059713, -0.3821
0.059856, -0.3839
0.059998, -0.3857
0.060141, -0.3876
0.060284, -0.3894
0.060426, -0.3912
0.060569, -0.3931
0.060711, -0.3949
0.060854, -0.3968
0.060996, -0.3987
0.061139, -0.4005
0.061281, -0.4024
0.061424, -0.4043
0.061566, -0.4061
0.061709, -0.4080
0.061851, -0.4099
0.061994, -0.4118
0.062136, -0.4137
0.062279, -0.4156
0.062421, -0.4175
0.062564, -0.4194
0.062706, -0.4213
0.062849, -0.4232
0.062991, -0.4251
0.063134, -0.4270
0.063276, -0.4290
0.063419, -0.4309
0.063561, -0.4328
0.063704, -0.4348
0.063846, -0.4367
0.063989, -0.4387
0.064131, -0.4406
0.064274, -0.4426
0.064416, -0.4445
0.064559, -0.4465
0.064701, -0.4485
0.064844, -0.4505
0.064986, -0.4524
0.065129, -0.4544
0.065272, -0.4564
0.065414, -0.4584
0.065557, -0.4604
0.065699, -0.4624
0.065842, -0.4644
0.065984, -0.4664
0.066127, -0.4684
0.066269, -0.4704
0.066412, -0.4725
0.066554, -0.4745
0.066697, -0.4765
0.066839, -0.4786
0.066982, -0.4806
0.067124, -0.4826
0.067267, -0.4847
0.067409, -0.4867
0.067552, -0.4888
0.067694, -0.4909
0.067837, -0.4929
0.067979, -0.4950
0.068122, -0.4971
0.068264, -0.4991
0.068407, -0.5012
0.068549, -0.5033
0.068692, -0.5054
0.068834, -0.5075
0.068977, -0.5096
0.069119, -0.5117
0.069262, -0.5138
0.069404, -0.5159
0.069547, -0.5180
0.069689, -0.5202
0.069832, -0.5223
0.069974, -0.5244
0.070117, -0.5266
0.070260, -0.5287
0.070402, -0.5308
0.070545, -0.5330
0.070687, -0.5351
0.070830, -0.5373
0.070972, -0.5395
0.071115, -0.5416
0.071257, -0.5438
0.071400, -0.5460
0.071542, -0.5481
0.071685, -0.5503
0.071827, -0.5525
0.071970, -0.5547
0.072112, -0.5569
0.072255, -0.5591
0.072397, -0.5613
0.072540, -0.5635
0.072682, -0.5657
0.072825, -0.5679
0.072967, -0.5702
0.073110, -0.5724
0.073252, -0.5746
0.073395, -0.5768
0.073537, -0.5791
0.073680, -0.5813
0.073822, -0.5836
0.073965, -0.5858
0.074107, -0.5881
0.074250, -0.5903
0.074392, -0.5926
0.074535, -0.5949
0.074677, -0.5971
0.074820, -0.5994
0.074962, -0.6017
0.075105, -0.6040
0.075248, -0.6063
0.075390, -0.6086
0.075533, -0.6109
0.075675, -0.6132
0.075818, -0.6155
0.075960, -0.6178
0.076103, -0.6201
0.076245, -0.6224
0.076388, -0.6247
0.076530, -0.6271
0.076673, -0.6294
0.076815, -0.6317
0.076958, -0.6341
0.077100, -0.6364
0.077243, -0.6388
0.077385, -0.6411
0.077528, -0.6435
0.077670, -0.6459
0.077813, -0.6482
0.077955, -0.6506
0.078098, -0.6530
0.078240, -0.6554
0.078383, -0.6577
0.078525, -0.6601
0.078668, -0.6625
0.078810, -0.6649
0.078953, -0.6673
0.079095, -0.6697
0.079238, -0.6721
0.079380, -0.6746
0.079523, -0.6770
0.079665, -0.6794
0.079808, -0.6818
0.079950, -0.6843
0.080093, -0.6867
0.080236, -0.6891
0.080378, -0.6916
0.080521, -0.6940
0.080663, -0.6965
0.080806, -0.6989
0.080948, -0.7014
0.081091, -0.7039
0.081233, -0.7063
0.081376, -0.7088
0.081518, -0.7113
0.081661, -0.7138
0.081803, -0.7163
0.081946, -0.7188
0.082088, -0.7213
0.082231, -0.7238
