# L2 soft-edge 20mm
# r_mm, sag_um
0.000000, -0.0000
0.001461, -0.0000
0.003496, -0.0001
0.005499, -0.0002
0.007535, -0.0004
0.009580, -0.0007
0.011598, -0.0010
0.013630, -0.0014
0.015671, -0.0019
0.017697, -0.0024
0.019728, -0.0029
0.021765, -0.0036
0.023796, -0.0043
0.025826, -0.0050
0.027861, -0.0058
0.029895, -0.0067
0.031924, -0.0077
0.033958, -0.0087
0.035995, -0.0097
0.038023, -0.0109
0.040056, -0.0121
0.042091, -0.0133
0.044122, -0.0146
0.046154, -0.0160
0.048188, -0.0175
0.050221, -0.0190
0.052252, -0.0205
0.054285, -0.0222
0.056319, -0.0239
0.058350, -0.0256
0.060383, -0.0274
0.062418, -0.0293
0.064448, -0.0312
0.066481, -0.0332
0.068515, -0.0353
0.070547, -0.0374
0.072579, -0.0396
0.074613, -0.0419
0.076645, -0.0442
0.078677, -0.0465
0.080710, -0.0490
0.082744, -0.0515
0.084775, -0.0540
0.086808, -0.0567
0.088842, -0.0593
0.090873, -0.0621
0.092906, -0.0649
0.094939, -0.0678
0.096971, -0.0707
0.099003, -0.0737
0.101037, -0.0767
0.103070, -0.0799
0.105101, -0.0830
0.107134, -0.0863
0.109168, -0.0896
0.111199, -0.0930
0.113232, -0.0964
0.115266, -0.0999
0.117297, -0.1034
0.119329, -0.1070
0.121363, -0.1107
0.123395, -0.1145
0.125427, -0.1183
0.127460, -0.1221
0.129493, -0.1260
0.131525, -0.1300
0.133557, -0.1341
0.135591, -0.1382
0.137622, -0.1424
0.139655, -0.1466
0.141688, -0.1509
0.143720, -0.1553
0.145752, -0.1597
0.147785, -0.1642
0.149817, -0.1687
0.151849, -0.1733
0.153882, -0.1780
0.155915, -0.1827
0.157947, -0.1875
0.159979, -0.1924
0.162012, -0.1973
0.164044, -0.2023
0.166076, -0.2073
0.168109, -0.2124
0.170141, -0.2176
0.172173, -0.2228
0.174206, -0.2281
0.176238, -0.2334
0.178270, -0.2389
0.180303, -0.2443
0.182335, -0.2499
0.184367, -0.2555
0.186399, -0.2611
0.188432, -0.2669
0.190464, -0.2726
0.192496, -0.2785
0.194529, -0.2844
0.196560, -0.2904
0.198592, -0.2964
0.200625, -0.3025
0.202657, -0.3087
0.204689, -0.3149
0.206721, -0.3212
0.208754, -0.3275
0.210785, -0.3339
0.212817, -0.3404
0.214850, -0.3469
0.216882, -0.3535
0.218914, -0.3602
0.220946, -0.3669
0.222978, -0.3737
0.225010, -0.3805
0.227042, -0.3874
0.229074, -0.3944
0.231106, -0.4014
0.233138, -0.4085
0.235170, -0.4156
0.237201, -0.4228
0.239233, -0.4301
0.241266, -0.4375
0.243297, -0.4449
0.245329, -0.4523
0.247361, -0.4598
0.249393, -0.4674
0.251425, -0.4751
0.253457, -0.4828
0.255489, -0.4905
0.257520, -0.4984
0.259552, -0.5063
0.261584, -0.5142
0.263615, -0.5222
0.265647, -0.5303
